Experiment,ROC_AUC,Model
Train Clean -> Test Unclean (Paired Split),0.9356748161399324,RandomForest
Train Unclean -> Test Clean (Paired Split),0.9644273286044014,RandomForest
Train Clean -> Test Unclean (Paired Split),0.9263685152057245,GradientBoosting
Train Unclean -> Test Clean (Paired Split),0.9769358888729192,GradientBoosting
Train Clean -> Test Unclean (Paired Split),0.9290797058238918,XGBoost
Train Unclean -> Test Clean (Paired Split),0.9737738736377548,XGBoost
